Candidato;Partido;Número de Votos;Percentual
MANOEL ELIAS DE MELO CALHEIROS;MDB;10;
ADEILSON DE ARAUJO VIEIRA;MDB;17;
JOSÉ RENATO DOS SANTOS;MDB;7;
DJALMA DA ROSA CALHEIROS;MDB;16;
JOSÉ WILLIAMS ALMEIDA DOS SANTOS;MDB;6;
LEANDRO JOÃO DA SILVA;PSDB;3;
ARNALDO DA SILVA LIMA;PSDB;1;
THAYSE FERNANDA SOUSA BARROS LEITE;PSDB;18;
ALEXSANDRO DE LIMA;PSDB;12;
FABIANA DE OLIVEIRA SILVA;PSDB;1;
JOSÉ CICERO DE OLIVEIRA;PSDB;4;
ROSA MARIA DA SILVA SANTOS;PSDB;1;
ELIAS LEANDRO DA SILVA;PSDB;4;
JULIANA MATIAS DOS SANTOS;PTB;1;
INALDO GONÇALVES DA SILVA;PTB;3;
ISAEL RIBEIRO DOS SANTOS;PTB;3;
ADEMIR SAMPAIO DE OLIVEIRA;PTB;2;
LEVI JOSÉ DA SILVA;PTB;3;
LOURIVAL DOS SANTOS LIMA;PTB;1;
VOTO BRANCO;branco;1;
MARCOS JOSE HERCULANO DA SILVA;PTB;146;
ADELMO ZEFERINO DE SOUZA JUNIOR;MDB;131;
THOMAS HENRIQUE PEIXOTO LEITE;PSDB;17;
VOTO NULO;NULO;12;
MANOEL CARLOS RODRIGUES CALHEIROS;MDB;16;
GIBSON BUARQUE DE MELO;MDB;23;
MANOEL ELIAS DE MELO CALHEIROS;MDB;12;
ADEILSON DE ARAUJO VIEIRA;MDB;17;
CLEIDE JANE DOS SANTOS;MDB;1;
JOSÉ RENATO DOS SANTOS;MDB;10;
ARNALDO BENTO DA SILVA FILHO;PTB;1;
GERALDO DOS SANTOS;PTB;9;
ROZILENE RODRIGUES GOMES ALBUQUERQUE;PTB;3;
MARIA JOSÉ DE AZEVEDO BISPO;PTB;1;
WELLINGTON DOS SANTOS;PTB;2;
INALDO GONÇALVES DA SILVA;PTB;4;
ISAEL RIBEIRO DOS SANTOS;PTB;12;
LEVI JOSÉ DA SILVA;PTB;3;
LOURIVAL DOS SANTOS LIMA;PTB;3;
DAIANA SILVA DE SOUSA;PTB;2;
PRISCILA FERNANDES GOMES;PTB;8;
MARCOS JOSE HERCULANO DA SILVA;PTB;111;
ADELMO ZEFERINO DE SOUZA JUNIOR;MDB;150;
THOMAS HENRIQUE PEIXOTO LEITE;PSDB;24;
VOTO BRANCO;branco;4;
VOTO NULO;NULO;13;
JOSÉ CICERO DE OLIVEIRA;PSDB;5;
ROSA MARIA DA SILVA SANTOS;PSDB;1;
ELIAS LEANDRO DA SILVA;PSDB;2;
LUIZ EDUARDO MARQUES DA SILVA;PSDB;2;
VOTO BRANCO;branco;3;
VOTO NULO;NULO;19;
SUYANNE VALERIO DE LIMA;PTB;3;
ARY CLEYTON DE CARVALHO REGO;MDB;7;
MANOEL LUIS SANTOS DA SILVA;MDB;11;
DJALMA DA ROSA CALHEIROS;MDB;8;
JOSÉ WILLIAMS ALMEIDA DOS SANTOS;MDB;4;
LEANDRO JOÃO DA SILVA;PSDB;1;
ARNALDO DA SILVA LIMA;PSDB;1;
THAYSE FERNANDA SOUSA BARROS LEITE;PSDB;8;
ALEXSANDRO DE LIMA;PSDB;5;
FABIANA DE OLIVEIRA SILVA;PSDB;3;
EGUIMAR FERREIRA DA SILVA;MDB;19;
MARIA DE FATIMA DE ARAUJO FREITAS;MDB;3;
MARIA ALESSANDRA PANTALEÃO DOS SANTOS;MDB;11;
WILLIAM BIZERRA DOS SANTOS;MDB;19;
SIDIANE MARIA LIMA DA SILVA;MDB;1;
SONIA MARIA DA SILVA;MDB;13;
GERALDO DOS SANTOS;PTB;13;
ROZILENE RODRIGUES GOMES ALBUQUERQUE;PTB;3;
JULIANA MATIAS DOS SANTOS;PTB;1;
INALDO GONÇALVES DA SILVA;PTB;1;
ISAEL RIBEIRO DOS SANTOS;PTB;13;
LEVI JOSÉ DA SILVA;PTB;2;
ADEILSON DE ARAUJO VIEIRA;MDB;19;
MANOEL CARLOS RODRIGUES CALHEIROS;MDB;14;
SONIA MARIA DA SILVA;MDB;17;
MANOEL ELIAS DE MELO CALHEIROS;MDB;7;
CLEIDE JANE DOS SANTOS;MDB;1;
JOSÉ RENATO DOS SANTOS;MDB;8;
DJALMA DA ROSA CALHEIROS;MDB;14;
VOTO NULO;NULO;6;
ARNALDO BENTO DA SILVA FILHO;PTB;1;
GERALDO DOS SANTOS;PTB;8;
JOSÉ CARLOS SILVA MONTEIRO;PTB;1;
ROZILENE RODRIGUES GOMES ALBUQUERQUE;PTB;3;
MARIA JOSÉ DE AZEVEDO BISPO;PTB;1;
WELLINGTON DOS SANTOS;PTB;3;
INALDO GONÇALVES DA SILVA;PTB;3;
ISAEL RIBEIRO DOS SANTOS;PTB;14;
LOURIVAL DOS SANTOS LIMA;PTB;4;
DAIANA SILVA DE SOUSA;PTB;7;
PRISCILA FERNANDES GOMES;PTB;2;
JOSÉ WILLIAMS ALMEIDA DOS SANTOS;MDB;14;
LEANDRO JOÃO DA SILVA;PSDB;1;
ADEVAN DE LIMA SILVA;PSDB;2;
VOTO NULO;NULO;14;
MARCOS JOSE HERCULANO DA SILVA;PTB;117;
ADELMO ZEFERINO DE SOUZA JUNIOR;MDB;166;
THOMAS HENRIQUE PEIXOTO LEITE;PSDB;24;
VOTO BRANCO;branco;4;
JOSÉ RENATO DOS SANTOS;MDB;9;
CLEIDE JANE DOS SANTOS;MDB;3;
